2025-10-21 22:56:56 | INFO     | CryptoBotCLI | Configuration chargée depuis config/config.yaml
2025-10-22 12:11:56 | INFO     | CryptoBotDaemon | Mode nuit : Désactivé
2025-10-22 12:11:56 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 12:11:56 | INFO     | CryptoBotDaemon | 🔍 Test de connexion Telegram...
2025-10-22 12:11:56 | INFO     | CryptoBotDaemon | ✓ Connecté au bot: @Crypto_Nicko_Bot
2025-10-22 12:11:56 | INFO     | CryptoBotDaemon | 📊 Génération du message de démarrage...
2025-10-22 12:12:01 | INFO     | CryptoBotDaemon |   ✓ BTC: 92938.76€
2025-10-22 12:12:03 | INFO     | CryptoBotDaemon |   ✓ ETH: 3310.86€
2025-10-22 12:12:05 | INFO     | CryptoBotDaemon |   ✓ SOL: 158.68€
2025-10-22 12:12:11 | ERROR    | CryptoBotDaemon | ❌ Échec envoi message de démarrage
2025-10-22 12:27:11 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 0h15m
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | Signal 2 (SIGINT) reçu, arrêt du démon...
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | 👋 CRYPTO BOT DAEMON ARRÊTÉ
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | Uptime : 0h 28m
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | Vérifications : 0
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | Alertes envoyées : 0
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | Erreurs : 0
2025-10-22 12:40:21 | INFO     | CryptoBotDaemon | ============================================================

2025-10-22 12:40:23 | INFO     | CryptoBotCLI | Configuration chargée depuis config/config.yaml
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | 🚀 CRYPTO BOT DAEMON DÉMARRÉ
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | Cryptos surveillées : BTC, ETH, SOL
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | Intervalle : 900s
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | Mode nuit : Désactivé
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 12:40:23 | INFO     | CryptoBotDaemon | 🔍 Test de connexion Telegram...
2025-10-22 12:40:24 | INFO     | CryptoBotDaemon | ✓ Connecté au bot: @Crypto_Nicko_Bot
2025-10-22 12:40:24 | INFO     | CryptoBotDaemon | 📊 Génération du message de démarrage...
2025-10-22 12:40:29 | INFO     | CryptoBotDaemon |   ✓ BTC: 92917.44€
2025-10-22 12:40:30 | INFO     | CryptoBotDaemon |   ✓ ETH: 3302.79€
2025-10-22 12:40:32 | INFO     | CryptoBotDaemon |   ✓ SOL: 158.29€
2025-10-22 12:40:38 | ERROR    | CryptoBotDaemon | ❌ Échec envoi message de démarrage
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | Signal 2 (SIGINT) reçu, arrêt du démon...
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | 👋 CRYPTO BOT DAEMON ARRÊTÉ
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | Uptime : 0h 0m
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | Vérifications : 0
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | Alertes envoyées : 0
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | Erreurs : 0
2025-10-22 12:40:40 | INFO     | CryptoBotDaemon | ============================================================

2025-10-22 17:16:18 | INFO     | CryptoBotCLI | Configuration chargée depuis config/config.yaml
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | 🚀 CRYPTO BOT DAEMON DÉMARRÉ
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | Cryptos surveillées : BTC, ETH, SOL
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | Intervalle : 900s
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | Mode nuit : Désactivé
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | 🔍 Test de connexion Telegram...
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | ✓ Connecté au bot: @Crypto_Nicko_Bot
2025-10-22 17:16:18 | INFO     | CryptoBotDaemon | 📊 Génération du message de démarrage...
2025-10-22 17:16:24 | INFO     | CryptoBotDaemon |   ✓ BTC: 93173.28€
2025-10-22 17:16:25 | INFO     | CryptoBotDaemon |   ✓ ETH: 3282.04€
2025-10-22 17:16:27 | INFO     | CryptoBotDaemon |   ✓ SOL: 157.76€
2025-10-22 17:16:33 | ERROR    | CryptoBotDaemon | ❌ Échec envoi message de démarrage
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | Signal 2 (SIGINT) reçu, arrêt du démon...
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | 👋 CRYPTO BOT DAEMON ARRÊTÉ
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | Uptime : 0h 0m
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | Vérifications : 0
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | Alertes envoyées : 0
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | Erreurs : 0
2025-10-22 17:16:35 | INFO     | CryptoBotDaemon | ============================================================

